grasp_index,success_rate
2,1.0
17,0.94
21,1.0
23,1.0
37,1.0
45,1.0
63,1.0
68,1.0
73,0.86
78,0.74
82,1.0
83,0.92
123,0.98
130,1.0
132,1.0
134,1.0
136,1.0
137,0.9
138,1.0
156,0.94
169,1.0
170,0.98
171,1.0
176,1.0
196,1.0
205,1.0
207,0.96
231,1.0
237,1.0
256,0.78
258,0.7
262,1.0
263,1.0
272,0.56
274,1.0
278,1.0
292,0.94
311,1.0
314,0.92
318,0.94
344,0.78
358,1.0
359,1.0
376,0.94
380,1.0
410,1.0
415,0.98
420,1.0
438,1.0
442,1.0
444,1.0
489,1.0
509,1.0
515,1.0
520,1.0
533,1.0
536,1.0
572,1.0
577,1.0
583,1.0
589,0.88
613,0.56
616,0.8
625,0.88
640,0.88
646,1.0
650,1.0
651,1.0
652,1.0
680,1.0
695,1.0
707,1.0
711,1.0
712,0.72
720,0.94
722,1.0
732,1.0
739,1.0
741,1.0
743,1.0
745,1.0
755,1.0
758,1.0
760,0.76
763,1.0
783,1.0
787,1.0
794,1.0
795,1.0
825,1.0
834,0.88
839,1.0
843,1.0
844,0.96
853,1.0
893,0.94
903,0.98
909,1.0
910,1.0
911,1.0
917,0.66
924,1.0
932,0.7
939,0.98
942,0.98
962,0.0
978,0.86
988,1.0
993,1.0
1011,1.0
1018,0.98
1020,0.96
1023,1.0
1025,1.0
1048,1.0
1051,0.98
1059,0.7
1064,0.74
1070,1.0
1082,1.0
1129,1.0
1139,1.0
1145,1.0
1146,1.0
1150,1.0
1156,1.0
1158,0.98
1166,0.92
1170,0.98
1183,1.0
1189,1.0
1194,1.0
1202,1.0
1210,1.0
1211,1.0
1229,1.0
1232,0.92
1234,0.96
1237,1.0
1238,1.0
1240,0.82
1250,1.0
1255,1.0
1264,0.8
1278,1.0
1282,1.0
1310,1.0
1329,1.0
